,Title,Tokens
14805,10572	‘Do not discriminate against sex workers’,"['discriminate', 'sex', 'workers']"
14806,10573	AIDS awareness campaign,"['awareness', 'campaign']"
14807,10576	AIDS awareness campaign in rural Kozhikode,"['awareness', 'campaign', 'rural', 'kozhikode']"
14808,10577	Meet on achieving Millennium Development Goals,"['meet', 'achieving', 'millennium', 'development', 'goals']"
14809,10579	Taking the lid off adolescent health education,"['lid', 'adolescent', 'health', 'education']"
14810,10580	Police to the aid of girl about to marry person with HIV,"['police', 'aid', 'girl', 'marry', 'person']"
14811,10581	29TVR.SANKAR.1_+29TVR.SANKAR.1.jpg.jpg,"['tvr', 'sankar', 'tvr', 'sankar', 'jpg', 'jpg']"
14812,10582	28SEP_maprs_Tem+MA29CITY-GOLU.jpg.jpg,"['sepmaprstem', 'macity', 'golu', 'jpg', 'jpg']"
14813,10583	On air: 107.8 FM,"['air', 'fm']"
14814,10584	MA29CITY-GOLU,"['macity', 'golu']"
14815,10585	The fight against kala-azar,"['fight', 'kala', 'azar']"
14816,10586	On air: 107.8 FM,"['air', 'fm']"
14817,10587	Avahan India project prevented over 6 lakh HIV infections: Lancet,"['avahan', 'india', 'project', 'prevented', 'lakh', 'infections', 'lancet']"
14818,10588	Avahan India project prevented over 6 lakh HIV infections: Lancet,"['avahan', 'india', 'project', 'prevented', 'lakh', 'infections', 'lancet']"
14819,10589	‘Ready to reinstate HIV+ bus driver’,"['ready', 'reinstate', 'bus', 'driver']"
14820,10591	Demand for judicial probe into fake ‘sex worker’ scam,"['demand', 'judicial', 'probe', 'fake', 'sex', 'worker', 'scam']"
14821,10592	Don’t ignore the children,"['don', 'ignore', 'children']"
14822,10593	Making justice affordable to the common man,"['making', 'justice', 'affordable', 'common', 'man']"
14823,10594	Suspended pathologist from Udupi moves court,"['suspended', 'pathologist', 'udupi', 'moves', 'court']"
14824,10595	On the highway of hope,"['highway', 'hope']"
14825,10596	IRCS chief denies pathologist charges,"['ircs', 'chief', 'denies', 'pathologist', 'charges']"
14826,10598	IRCS chief denies pathologist charges,"['ircs', 'chief', 'denies', 'pathologist', 'charges']"
14827,10599	Speaking lines,"['speaking', 'lines']"
14828,10600	From a trip to space to earthly problems of war and disease,"['trip', 'space', 'earthly', 'problems', 'war', 'disease']"
14829,10601	‘Give hassle-free assistance to HIV positive people’,"['hassle', 'free', 'assistance', 'positive', 'people']"
14830,10602	‘Priority in welfare schemes’,"['priority', 'welfare', 'schemes']"
14831,10603	Yadava College to host science communication workshop,"['yadava', 'college', 'host', 'science', 'communication', 'workshop']"
14832,10604	Folk artistes to spread AIDS awareness,"['folk', 'artistes', 'spread', 'awareness']"
14833,10605	The fight against kala-azar,"['fight', 'kala', 'azar']"
14834,10606	Folk artistes to spread AIDS awareness,"['folk', 'artistes', 'spread', 'awareness']"
14835,10607	State hopes to get more ART centres,"['state', 'hopes', 'art', 'centres']"
14836,10608	Wasted food for thought,"['wasted', 'food', 'thought']"
14837,10609	Wasted food for thought,"['wasted', 'food', 'thought']"
14838,10610	Karnataka hopes to get more ART centres under NACP IV,"['karnataka', 'hopes', 'art', 'centres', 'nacp', 'iv']"
14839,10611	TIRUCHI TODAY,"['tiruchi', 'today']"
14840,10612	A lifeline that rural India cannot do without,"['lifeline', 'rural', 'india']"
14841,10613	A lifeline that rural India cannot do without,"['lifeline', 'rural', 'india']"
14842,10614	Oldest infectious disease of humans,"['oldest', 'infectious', 'disease', 'humans']"
14843,10615	Vaccination with an inhaler rather than a jab,"['vaccination', 'inhaler', 'jab']"
14844,10616	Prison staff to be trained in HIV/AIDS counselling,"['prison', 'staff', 'trained', 'counselling']"
14845,10617	AISEC-Global Entrepreneur Talk session today,"['aisec', 'global', 'entrepreneur', 'talk', 'session', 'today']"
14846,10618	Tripura govt. assures action against NGO,"['tripura', 'govt', 'assures', 'action', 'ngo']"
14847,10619	29THVASAN,['thvasan']
14848,10621	More cattle head succumb to disease,"['cattle', 'head', 'succumb', 'disease']"
14849,10622	Cardiovascular diseases in women & children,"['cardiovascular', 'diseases', 'women', 'children']"
14850,10623	Mystery shrouds death of girl,"['mystery', 'shrouds', 'death', 'girl']"
14851,10624	Cardiovascular diseases in women & children,"['cardiovascular', 'diseases', 'women', 'children']"
14852,10625	Th29-AmanKenya_+TH29-NAIROBI_WEST_G.jpg,"['amankenya', 'nairobiwestg', 'jpg']"
14853,10626	Blood deficit in India growing,"['blood', 'deficit', 'india', 'growing']"
14854,10627	On the highway of hope,"['highway', 'hope']"
14855,10628	‘Learning’ the TEDxGRD way,"['learning', 'tedxgrd']"
14856,10629	On the highway of hope,"['highway', 'hope']"
14857,10630	On the highway of hope,"['highway', 'hope']"
14858,10631	Two-way road,['road']
14859,10632	Click for a cause,['click']
14860,10633	Two-way road,['road']
14861,10634	Blood donation awareness van flagged off,"['blood', 'donation', 'awareness', 'van', 'flagged']"
14862,10635	On the highway of hope,"['highway', 'hope']"
14863,10636	TIRUCHI TODAY,"['tiruchi', 'today']"
14864,10637	Yadava College to host workshop on science communication through folk arts,"['yadava', 'college', 'host', 'workshop', 'science', 'communication', 'folk', 'arts']"
14865,10638	Computing to find cures,"['computing', 'find', 'cures']"
14866,10639	Computing to find cures,"['computing', 'find', 'cures']"
14867,10640	Deepavali gifts for children,"['deepavali', 'gifts', 'children']"
14868,10641	Powerful images help revisit Kudankulam protests,"['powerful', 'images', 'help', 'revisit', 'kudankulam', 'protests']"
14869,10642	Hillary Clinton honoured for her work on HIV/AIDS,"['hillary', 'clinton', 'honoured', 'work']"
14870,10643	Awareness programme today to mark World Hospice and Palliative Care Day,"['awareness', 'programme', 'today', 'mark', 'hospice', 'palliative', 'care', 'day']"
14871,10644	On the highway of hope,"['highway', 'hope']"
14872,10645	NACO lowers age for offering its services to injecting drug users,"['naco', 'lowers', 'age', 'offering', 'services', 'injecting', 'drug', 'users']"
14873,10646	NACO lowers age for offering its services to injecting drug users,"['naco', 'lowers', 'age', 'offering', 'services', 'injecting', 'drug', 'users']"
14874,10647	Asacol,['asacol']
14875,10649	Riding evolution together: Humans and TB,"['riding', 'evolution', 'humans', 'tb']"
14876,10650	‘Indian medicine systems need to be popularised’,"['indian', 'medicine', 'systems', 'popularised']"
14877,10651	Indian medicine systems need to be popularised: Bijapur ZP President,"['indian', 'medicine', 'systems', 'popularised', 'bijapur', 'zp', 'president']"
14878,10652	Promo,['promo']
14879,10653	Folk artistes to spread AIDS awareness,"['folk', 'artistes', 'spread', 'awareness']"
14880,10654	TIRUCHI TODAY,"['tiruchi', 'today']"
14881,10655	AIDS awareness campaign,"['awareness', 'campaign']"
14882,10656	21sepcbemkhi2.h+CB22_HIV_AIDS__AWAR.jpg,"['sepcbemkhi', 'cbhivaidsawar', 'jpg']"
14883,10657	CB22_HIV_AIDS__AWARENESS_CAMPAIGN,['cbhivaidsawarenesscampaign']
14884,10658	On the highway of hope,"['highway', 'hope']"
14885,10659	On the highway of hope,"['highway', 'hope']"
14886,10660	On the highway of hope,"['highway', 'hope']"
14887,10661	Child malnutrition still a cause of concern in Vellore district: UNICEF,"['child', 'malnutrition', 'concern', 'vellore', 'district', 'unicef']"
14888,10662	Child malnutrition still a cause of concern in Vellore district: UNICEF,"['child', 'malnutrition', 'concern', 'vellore', 'district', 'unicef']"
14889,10663	People living with HIV demand Bill be tabled in Parliament,"['people', 'living', 'demand', 'bill', 'tabled', 'parliament']"
14890,10664	07ndbin02.aids.+DE08-P4-3COL-HIV.jp.jpg,"['ndbin', 'de', 'col', 'jp', 'jpg']"
14891,10665	DE08-P4-3COL-HI+DE08-P4-3COL-HIV.jp.jpg,"['de', 'col', 'de', 'col', 'jp', 'jpg']"
14892,10666	Suspended pathologist moves court,"['suspended', 'pathologist', 'moves', 'court']"
14893,10667	Don’t ignore the children,"['don', 'ignore', 'children']"
14894,10668	‘Mindset towards sex workers needs to change’,"['mindset', 'sex', 'workers', 'change']"
14895,10669	The opium basket of the world and its veritable zombie towns,"['opium', 'basket', 'veritable', 'zombie', 'towns']"
14896,10670	The fight against HIV,['fight']
14897,10671	Spurt in injecting drug users forces Centre to open more therapy centres,"['spurt', 'injecting', 'drug', 'users', 'forces', 'centre', 'open', 'therapy', 'centres']"
14898,10672	Paediatrician among five arrested,"['paediatrician', 'arrested']"
14899,10673	Spurt in injecting drug users forces Centre to open more therapy centres,"['spurt', 'injecting', 'drug', 'users', 'forces', 'centre', 'open', 'therapy', 'centres']"
14900,10674	Paediatrician among five persons arrested on sodomy charges,"['paediatrician', 'persons', 'arrested', 'sodomy', 'charges']"
14901,10676	Cleaner stoves can save a million lives,"['cleaner', 'stoves', 'save', 'lives']"
14902,10678	Little Mr. Sunshine,['sunshine']
14903,10679	HIV+ robber’s sentence reduced,"['robber', 'sentence', 'reduced']"
14904,10680	HIV cases on the rise in Australia,"['cases', 'rise', 'australia']"
14905,10681	HIV+ robber’s sentence reduced,"['robber', 'sentence', 'reduced']"
14906,10682	Bringing food and faith,"['bringing', 'food', 'faith']"
14907,10683	Bringing food and faith,"['bringing', 'food', 'faith']"
14908,10684	24-isbs-Nationa+24ISBS_PANJAB_.jpg.jpg,"['isbs', 'nationa', 'isbspanjab', 'jpg', 'jpg']"
14909,10685	NRI doctor wins record medical negligence payout,"['nri', 'doctor', 'wins', 'record', 'medical', 'negligence', 'payout']"
14910,10686	Insurance cover mooted for those living with HIV,"['insurance', 'cover', 'mooted', 'living']"
14911,10687	Conference on AIDS,['conference']
14912,10688	Baby’s HIV ‘cure not a fluke’,"['baby', 'cure', 'fluke']"
14913,10689	RTE: children of parents with income below Rs. 1 lakh to get preference,"['rte', 'children', 'parents', 'income', 'rs', 'lakh', 'preference']"
14914,10690	The fight against HIV,['fight']
14915,10691	12tvepWarrier.A+21TVEPAIDS.jpg.jpg,"['tvepwarrier', 'tvepaids', 'jpg', 'jpg']"
14916,10692	Stressing on the importance of passing HIV/AIDS Bill,"['stressing', 'passing', 'bill']"
14917,10693	Celebrating Deepavali with the underprivileged,"['celebrating', 'deepavali', 'underprivileged']"
14918,10694	Drop-in centre for HIV patients planned in Kochi,"['drop', 'centre', 'patients', 'planned', 'kochi']"
14919,10695	TIRUCHI TODAY,"['tiruchi', 'today']"
14920,10696	Drop-in centre for HIV-positive persons planned,"['drop', 'centre', 'positive', 'persons', 'planned']"
14921,10697	HIV positive people celebrate Deepavali,"['positive', 'people', 'celebrate', 'deepavali']"
14922,10698	Chandrachud to be Allahabad CJ,"['chandrachud', 'allahabad', 'cj']"
14923,10699	Celebration with a difference,"['celebration', 'difference']"
14924,10700	Dreamworld India-JFHA inter-school tournament from Nov. 7,"['dreamworld', 'india', 'jfha', 'inter', 'school', 'tournament', 'nov']"
14925,10701	HIV test must for pregnant women,"['test', 'pregnant', 'women']"
14926,10702	A meaningful celebration,"['meaningful', 'celebration']"
14927,10703	Lending a voice to HIV-infected kids,"['lending', 'voice', 'infected', 'kids']"
14928,10704	Lending a voice to HIV-infected kids,"['lending', 'voice', 'infected', 'kids']"
14929,10705	Lending a voice to HIV-infected kids,"['lending', 'voice', 'infected', 'kids']"
14930,10706	Lending a voice to HIV-infected kids,"['lending', 'voice', 'infected', 'kids']"
14931,10707	A voice of concern for HIV-infected children,"['voice', 'concern', 'infected', 'children']"
14932,10708	Gifts distributed,"['gifts', 'distributed']"
14933,10709	Awareness campaign,"['awareness', 'campaign']"
14934,10710	The TEDxexperience,['tedxexperience']
14935,10711	The TEDx experience,"['tedx', 'experience']"
14936,10712	The TEDx experience,"['tedx', 'experience']"
14937,10713	The fight against HIV,['fight']
14938,10714	The TEDx experience,"['tedx', 'experience']"
14939,10715	08BGMANDYA_AIDS_HIV,['bgmandyaaidshiv']
14940,10716	TANSACS workshop for folk artistes of 16 districts,"['tansacs', 'workshop', 'folk', 'artistes', 'districts']"
14941,10717	CB07_FOLK_ARTISTES,['cbfolkartistes']
14942,10718	TANSACS workshop for folk artistes in Coimbatore,"['tansacs', 'workshop', 'folk', 'artistes', 'coimbatore']"
14943,10719	TANSACS to rope in local body leaders,"['tansacs', 'rope', 'local', 'body', 'leaders']"
14944,10720	TANSACS workshop for folk artistes,"['tansacs', 'workshop', 'folk', 'artistes']"
14945,10721	All in an auto,['auto']
14946,10722	All in an auto,['auto']
14947,10723	07bg_MDMTS_sala+08BGMANDYA_AIDS_HIV.jpg,"['bgmdmtssala', 'bgmandyaaidshiv', 'jpg']"
14948,10724	HIV/AIDS counsellors demand better salary,"['counsellors', 'demand', 'better', 'salary']"
14949,10725	All in an auto,['auto']
14950,10726	All in an auto,['auto']
14951,10727	All in an auto,['auto']
14952,10728	‘Blood test before marriage should be made compulsory’,"['blood', 'test', 'marriage', 'compulsory']"
14953,10729	Rural housing scheme brings a ray of hope to them,"['rural', 'housing', 'scheme', 'brings', 'ray', 'hope']"
14954,10730	Celebratory notes,"['celebratory', 'notes']"
14955,10731	Choosing health over profit,"['choosing', 'health', 'profit']"
14956,10732	Short takes,"['short', 'takes']"
14957,10733	The fight against cholera,"['fight', 'cholera']"
14958,10734	‘Impart quality medical education’,"['impart', 'quality', 'medical', 'education']"
14959,10735	All in an auto,['auto']
14960,10736	Ray of hope in rural lives,"['ray', 'hope', 'rural', 'lives']"
14961,10737	Choosing health over profit,"['choosing', 'health', 'profit']"
14962,10738	Collection of student profiles begins in Madurai,"['collection', 'student', 'profiles', 'madurai']"
14963,10739	Dealing with hepatitis in Asia,"['dealing', 'hepatitis', 'asia']"
14964,10740	COIMBATORE TODAY,"['coimbatore', 'today']"
14965,10741	Collection of student profiles begins,"['collection', 'student', 'profiles']"
14966,10742	Udupi’s district maternity hospital to get a Rs 14-cr makeover,"['udupi', 'district', 'maternity', 'hospital', 'rs', 'cr', 'makeover']"
14967,10743	Celebratory notes,"['celebratory', 'notes']"
14968,10744	Actor to support AIDS campaign,"['actor', 'support', 'campaign']"
14969,10745	Wild rodents are carriers of plague bacillus: officer,"['wild', 'rodents', 'carriers', 'plague', 'bacillus', 'officer']"
14970,10746	‘Mee Nestam’ creates awareness on HIV/AIDS,"['mee', 'nestam', 'creates', 'awareness']"
14971,10747	Closure of community care centres flayed,"['closure', 'community', 'care', 'centres', 'flayed']"
14972,10748	Free health awareness camps,"['free', 'health', 'awareness', 'camps']"
14973,10749	50 ART centres to be opened in State,"['art', 'centres', 'opened', 'state']"
14974,10750	50 ART centres to be opened in State,"['art', 'centres', 'opened', 'state']"
14975,10752	Workshop for folk artistes,"['workshop', 'folk', 'artistes']"
14976,10753	Short takes,"['short', 'takes']"
14977,10754	Waning hope of ASHA workers,"['waning', 'hope', 'asha', 'workers']"
14978,10755	Why cancer continues to be a formidable challenge,"['cancer', 'continues', 'formidable', 'challenge']"
14979,10756	Waning hope of ASHA workers,"['waning', 'hope', 'asha', 'workers']"
14980,10757	Session to focus on community health,"['session', 'focus', 'community', 'health']"
14981,10758	Migrant workers to be counselled on AIDS in trains,"['migrant', 'workers', 'counselled', 'trains']"
14982,10760	Visteel Mahila’s gesture to home for positive children,"['visteel', 'mahila', 'gesture', 'positive', 'children']"
14983,10761	the disaster priority package,"['disaster', 'priority', 'package']"
14984,10763	The disaster priority package,"['disaster', 'priority', 'package']"
14985,10764	Visteel Mahila Samiti visits Desire Society,"['visteel', 'mahila', 'samiti', 'visits', 'desire', 'society']"
14986,10765	Combating cholera,"['combating', 'cholera']"
14987,10767	HIV and neurocognitive disorders,"['neurocognitive', 'disorders']"
14988,10768	Surgeon steals heroin from man’s stomach,"['surgeon', 'steals', 'heroin', 'man', 'stomach']"
14989,10769	No pain in the neck!,"['pain', 'neck']"
14990,10770	Panel to stress implementation of child rights,"['panel', 'stress', 'implementation', 'child', 'rights']"
14991,10771	HIV and neurocognitive disorders,"['neurocognitive', 'disorders']"
14992,10772	No pain in the neck!,"['pain', 'neck']"
14993,10773	Fungal spores detected,"['fungal', 'spores', 'detected']"
14994,10775	GRH red-faced as blood bags run short,"['grh', 'red', 'faced', 'blood', 'bags', 'short']"
14995,10776	Government Rajaji Hospital red-faced as blood bags run short,"['government', 'rajaji', 'hospital', 'red', 'faced', 'blood', 'bags', 'short']"
14996,10777	Crunching disease data,"['crunching', 'disease', 'data']"
14997,10778	Crunching disease data,"['crunching', 'disease', 'data']"
14998,10779	Ideal school to learn good driving practices,"['ideal', 'school', 'learn', 'good', 'driving', 'practices']"
14999,10782	New tunes from Sonagachi,"['tunes', 'sonagachi']"
15000,10783	Non-allocation of funds hits HIV control scheme,"['allocation', 'funds', 'hits', 'control', 'scheme']"
15001,10785	New tunes from Sonagachi,"['tunes', 'sonagachi']"
15002,10786	Sexuality minorities join hands for a community body,"['sexuality', 'minorities', 'join', 'hands', 'community', 'body']"
15003,10788	Let’s declare war on TB,"['declare', 'war', 'tb']"
15004,10789	A life they did not choose,"['life', 'choose']"
15005,10790	Setting national health priorities,"['setting', 'national', 'health', 'priorities']"
15006,10791	Lab,['lab']
15007,10792	Midwives do more than deliver babies,"['midwives', 'deliver', 'babies']"
15008,10793	Midwives do more than deliver babies,"['midwives', 'deliver', 'babies']"
15009,10794	‘Snakes’ and ‘ladders’ drive home a message,"['snakes', 'ladders', 'drive', 'message']"
15010,10795	A multiracial school in a land of multiple superstitions,"['multiracial', 'school', 'land', 'multiple', 'superstitions']"
15011,10796	New way to develop influenza A vaccine,"['develop', 'influenza', 'vaccine']"
15012,10797	‘Snakes’ and ‘ladders’ game brings a different message,"['snakes', 'ladders', 'game', 'brings', 'message']"
15013,10798	New way to develop influenza A vaccine,"['develop', 'influenza', 'vaccine']"
15014,10799	28vjsuj_snakes-+29VZVIJFOR_HEALTH.j.jpg,"['vjsujsnakes', 'vzvijforhealth', 'jpg']"
15015,10800	29VZVIJFOR_HEALTH,['vzvijforhealth']
15016,10801	Vijayawada NGO uses ‘Snakes & ladders’ to help TB and HIV patients,"['vijayawada', 'ngo', 'snakes', 'ladders', 'help', 'tb', 'patients']"
15017,10802	Always positive,['positive']
15018,10803	29 children get cochlear implant under CM’s health scheme,"['children', 'cochlear', 'implant', 'cm', 'health', 'scheme']"
15019,10804	Magic in the mundane,"['magic', 'mundane']"
15020,10805	Magic in the mundane,"['magic', 'mundane']"
15021,10806	Get involved in blood donation: Sivakumar,"['involved', 'blood', 'donation', 'sivakumar']"
15022,10807	A healthy spin,"['healthy', 'spin']"
15023,10808	A healthy spin,"['healthy', 'spin']"
15024,10809	MDMK cadre create awareness on RTE Act quota,"['mdmk', 'cadre', 'create', 'awareness', 'rte', 'quota']"
15025,10811	Get involved in blood donation: Sivakumar,"['involved', 'blood', 'donation', 'sivakumar']"
15026,10813	Weaving a success story,"['weaving', 'success', 'story']"
15027,10817	Let’s declare war on TB,"['declare', 'war', 'tb']"
15028,10818	For gender equality,"['gender', 'equality']"
15029,10819	...For gender EQUALITY,"['gender', 'equality']"
15030,10820	Surveillance stepped up for A(H1N1),"['surveillance', 'stepped', 'hn']"
15031,10821	Surveillance stepped up for A(H1N1),"['surveillance', 'stepped', 'hn']"
15032,10824	A life they did not choose,"['life', 'choose']"
15033,10826	Mother’s milk bank to rescue Rajasthan infants,"['mother', 'milk', 'bank', 'rescue', 'rajasthan', 'infants']"
15034,10827	ISB-Laurus Labs ink pact to back technology commercialisation for scientists,"['isb', 'laurus', 'labs', 'ink', 'pact', 'technology', 'commercialisation', 'scientists']"
15035,10828	Surveillance stepped up for A(H1N1),"['surveillance', 'stepped', 'hn']"
15036,10829	For gender EQUALITY,"['gender', 'equality']"
15037,10830	Over 15 applications issued so far,"['applications', 'issued']"
15038,10831	These kids positive and raring to go,"['kids', 'positive', 'raring']"
15039,10832	Setting national health priorities,"['setting', 'national', 'health', 'priorities']"
15040,10833	WHO approves first circumcision device to slow AIDS spread,"['approves', 'circumcision', 'device', 'slow', 'spread']"
15041,10834	CBOs representing Tamil Nadu's sexual minority hit by shrinking grants,"['cbos', 'representing', 'tamil', 'nadu', 'sexual', 'minority', 'hit', 'shrinking', 'grants']"
15042,10835	Kozhikode Today,"['kozhikode', 'today']"
15043,10836	Carrying the burden in the evening of their lives,"['carrying', 'burden', 'evening', 'lives']"
15044,10837	HY23_HIV_AFFECTED,['hyhivaffected']
15045,10838	Carrying the burden in the evening of their lives,"['carrying', 'burden', 'evening', 'lives']"
15046,10839	‘Formation of school management panels will ensure education for all’,"['formation', 'school', 'management', 'panels', 'ensure', 'education']"
15047,10840	World Bank funds for National AIDS Control Support Project approved,"['bank', 'funds', 'national', 'control', 'support', 'project', 'approved']"
15048,10841	World Bank funds for AIDS Project approved,"['bank', 'funds', 'project', 'approved']"
15049,10842	World Bank funds for National AIDS Control Support Project approved,"['bank', 'funds', 'national', 'control', 'support', 'project', 'approved']"
15050,10844	Boy living with HIV flees Balamandir,"['boy', 'living', 'flees', 'balamandir']"
15051,10845	World Bank funds for AIDS control project approved,"['bank', 'funds', 'control', 'project', 'approved']"
15052,10847	Non-allocation of funds hits HIV control scheme,"['allocation', 'funds', 'hits', 'control', 'scheme']"
15053,10848	New method to prevent HIV transmission to infants,"['method', 'prevent', 'transmission', 'infants']"
15054,10849	‘Notify TB patients to District TB Officer’,"['notify', 'tb', 'patients', 'district', 'tb', 'officer']"
15055,10850	New method to prevent HIV transmission to infants,"['method', 'prevent', 'transmission', 'infants']"
15056,10851	29 children get cochlear implant under CM’s health scheme,"['children', 'cochlear', 'implant', 'cm', 'health', 'scheme']"
15057,10853	Short-term courses at IGNOU,"['short', 'term', 'courses', 'ignou']"
15058,10854	Short term courses at IGNOU,"['short', 'term', 'courses', 'ignou']"
15059,10856	Shocking number of HIV cases detected at blood banks go without follow-up,"['shocking', 'number', 'cases', 'detected', 'blood', 'banks', 'follow']"
15060,10858	Magic in the mundane,"['magic', 'mundane']"
15061,10859	Magic in the mundane,"['magic', 'mundane']"
15062,10860	MDMK cadre create awareness on RTE Act quota,"['mdmk', 'cadre', 'create', 'awareness', 'rte', 'quota']"
15063,10862	Four infected with HIV after blood transfusion in Assam hospital,"['infected', 'blood', 'transfusion', 'assam', 'hospital']"
15064,10863	Four infected with HIV after blood transfusion in Assam hospital,"['infected', 'blood', 'transfusion', 'assam', 'hospital']"
15065,10864	Shocking number of HIV cases detected at blood banks go without follow-up,"['shocking', 'number', 'cases', 'detected', 'blood', 'banks', 'follow']"
15066,10865	HIV cases detected at blood banks go without follow-up,"['cases', 'detected', 'blood', 'banks', 'follow']"
15067,10866	Magic in the mundane,"['magic', 'mundane']"
15068,10867	Tarun Gogoi grants Rs. 5 lakh to 4 HIV infected,"['tarun', 'gogoi', 'grants', 'rs', 'lakh', 'infected']"
15069,10868	Magic in the mundane,"['magic', 'mundane']"
15070,10869	Four infected with HIV after blood transfusion in hospital,"['infected', 'blood', 'transfusion', 'hospital']"
15071,10870	The fight against TB,"['fight', 'tb']"
15072,10871	The fight against TB,"['fight', 'tb']"
15073,10872	Criminal case against transfusion of HIV-infected blood: Gogoi,"['criminal', 'case', 'transfusion', 'infected', 'blood', 'gogoi']"
15074,10873	Tarun Gogoi grants Rs. 5 lakh to 4 HIV infected,"['tarun', 'gogoi', 'grants', 'rs', 'lakh', 'infected']"
15075,10874	Gogoi offers aid for HIV-infected persons,"['gogoi', 'offers', 'aid', 'infected', 'persons']"
15076,10875	Welcome initiative by Tata Power,"['initiative', 'tata', 'power']"
15077,10876	I bet it’s biased: one easy step to squash expert opinions,"['bet', 'biased', 'easy', 'step', 'squash', 'expert', 'opinions']"
15078,10878	Paying the price,"['paying', 'price']"
15079,10879	Students volunteer to undergo HIV test,"['students', 'volunteer', 'undergo', 'test']"
15080,10880	Health workers fight a losing battle,"['health', 'workers', 'fight', 'losing', 'battle']"
15081,10881	A family’s novel way of bidding adieu to telegram,"['family', 'novel', 'bidding', 'adieu', 'telegram']"
15082,10883	Delhi to continue sugar subsidy,"['delhi', 'continue', 'sugar', 'subsidy']"
15083,10884	Training programme,"['training', 'programme']"
15084,10885	Delhi to continue sugar subsidy,"['delhi', 'continue', 'sugar', 'subsidy']"
15085,10886	Ideal school to learn good driving practices,"['ideal', 'school', 'learn', 'good', 'driving', 'practices']"
15086,10887	Paying the price,"['paying', 'price']"
15087,10888	Spend Rs. 300 more and get safe blood,"['spend', 'rs', 'safe', 'blood']"
15088,10889	Justice for weaker sections of the society,"['justice', 'weaker', 'sections', 'society']"
15089,10890	Applications invited for skill training under Livelihood Mission,"['applications', 'invited', 'skill', 'training', 'livelihood', 'mission']"
15090,10891	Rally taken out to create awareness on health campaign,"['rally', 'create', 'awareness', 'health', 'campaign']"
15091,10892	NACO team inspects facilities at CMCH,"['naco', 'team', 'inspects', 'facilities', 'cmch']"
15092,10893	Auto drivers back man’s fight for justice,"['auto', 'drivers', 'man', 'fight', 'justice']"
15093,10894	HIV/AIDS primer for CMRL migrant labourers,"['primer', 'cmrl', 'migrant', 'labourers']"
15094,10895	A transfusion shatters her life,"['transfusion', 'shatters', 'life']"
15095,10896	Counsellors remain on the margins,"['counsellors', 'remain', 'margins']"
15096,10897	NACO team inspects facilities at CMCH,"['naco', 'team', 'inspects', 'facilities', 'cmch']"
15097,10898	Rally taken out to create awareness on health campaign,"['rally', 'create', 'awareness', 'health', 'campaign']"
15098,10899	ICC to dedicate CT final to HIV awareness campaign,"['icc', 'dedicate', 'ct', 'final', 'awareness', 'campaign']"
15099,10900	Chintamani wows the crowd,"['chintamani', 'wows', 'crowd']"
15100,10901	NHRC issues notice on TB drugs’ shortage,"['nhrc', 'issues', 'notice', 'tb', 'drugs', 'shortage']"
15101,10902	The right to sanitation,['sanitation']
15102,10903	Charkha Awards to be presented on Monday,"['charkha', 'awards', 'presented', 'monday']"
15103,10904	Charkha Awards to be presented on Monday,"['charkha', 'awards', 'presented', 'monday']"
15104,10905	AIDS Control Society programme,"['control', 'society', 'programme']"
15105,10907	Focus on epidemiology,"['focus', 'epidemiology']"
15106,10908	Th01-WHOGuideli+TH01-HIV_TESTING.jp.jpg,"['whoguideli', 'hivtesting', 'jp', 'jpg']"
15107,10909	Of a pledge and a people,"['pledge', 'people']"
15108,10910	Herbal formulation shows promise against HIV/AIDS,"['herbal', 'formulation', 'promise']"
15109,10911	Qwikipedia,['qwikipedia']
15110,10912	Counsellors remain on the margins,"['counsellors', 'remain', 'margins']"
15111,10913	Maasai cricketers aiming for Lord's,"['maasai', 'cricketers', 'aiming', 'lord']"
15112,10914	Waiting for the world’s one millionth HIV-free baby,"['waiting', 'millionth', 'free', 'baby']"
15113,10915	Northeast bands to create awareness on drug abuse,"['northeast', 'bands', 'create', 'awareness', 'drug', 'abuse']"
15114,10916	HIV/AIDS primer for CMRL migrant labourers,"['primer', 'cmrl', 'migrant', 'labourers']"
15115,10917	20isbs_hiv_G6E7+20ISBS_HIV.jpg.jpg,"['isbshivge', 'isbshiv', 'jpg', 'jpg']"
15116,10918	Spend Rs. 300 more and get safe blood,"['spend', 'rs', 'safe', 'blood']"
15117,10919	A transfusion shatters her life,"['transfusion', 'shatters', 'life']"
15118,10920	Meet on legal aid,"['meet', 'legal', 'aid']"
15119,10921	10BG_P4_HIV,['bgphiv']
15120,10922	21_ndperiscoped+DE21PERISCOPEAID.jp.jpg,"['ndperiscoped', 'deperiscopeaid', 'jp', 'jpg']"
15121,10923	08bg_bgyas_HIVc+10BG_P4_HIV.jpg.jpg,"['bgbgyashivc', 'bgphiv', 'jpg', 'jpg']"
15122,10924	Legally sound,"['legally', 'sound']"
15123,10925	Children living with HIV still waiting for benefits,"['children', 'living', 'waiting', 'benefits']"
15124,10926	HIV/AIDS primer for CMRL migrant labourers,"['primer', 'cmrl', 'migrant', 'labourers']"
15125,10927	Refresher course for heavy vehicle drivers,"['refresher', 'course', 'heavy', 'vehicle', 'drivers']"
15126,10929	HIV helpline awaits help for its revival,"['helpline', 'awaits', 'help', 'revival']"
